,SMILES,pIC50,num_atoms,logP
2681,CC(OP(C)(=O)F)C(C)(C)C,0.0,11,3.23
2682,CC(C)(C)c1ccc(O)c(C(C)(C)C)c1,0.0,15,3.9872
2683,Cc1cccc(C)c1NC(=O)C1CCCCN1C,0.0,18,2.72624
2684,Nc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,0.16,14,0.7908
2685,COc1ccc(N)c([N+](=O)[O-])c1,0.07,12,1.1856
2686,O=C(O)c1cc([N+](=O)[O-])ccc1O,0.1,13,0.9986
2687,Cc1ccc(C(=O)O)cc1[N+](=O)[O-],0.03,13,1.60142
2688,O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1,0.01,13,2.1564
2689,NS(=O)(=O)c1ccc(Cl)c([N+](=O)[O-])c1,0.13,14,0.8956
2690,CCOP(=S)(OCC)Oc1ccc(Cl)cc1Cl,0.0,17,4.6697
2691,Oc1ccc(Cl)cc1Cc1cc(Cl)ccc1O,0.0,17,3.9954
2692,COc1cc(C(O)CN)ccc1O,0.4,13,0.3929
2693,C=CCc1ccc(O)c(OC)c1,0.01,12,2.1293
2694,CC=Cc1ccc(O)c(OC)c1,0.0,12,2.4339
2695,CCCC(C)C(=O)O,0.03,8,1.5072
2696,C=C(C)C(=O)OCC,0.07,8,1.1256
2697,CCN(CC)C(=S)SSC(=S)N(CC)CC,0.0,16,3.6212
2698,C=C(C)C(=O)OCC(C)C,0.02,10,1.7617
2699,C=C(C)C(=O)OCCCC,0.01,10,1.9058
2700,OCc1ccco1,0.17,7,0.7719
2701,O=Cc1ccco1,0.08,7,1.0921
2702,O=Cc1cccs1,0.03,7,1.5606
2703,C[N+](C)(C)c1ccccc1,0.01,10,1.8833
2704,O=[As](O)(O)c1ccccc1,,10,-0.7524
2705,CC(C)(C)c1ccccc1,0.0,10,2.9841
2706,FC(F)(F)c1ccccc1,0.0,10,2.7054
2707,NS(=O)(=O)c1ccccc1,0.46,10,0.334
2708,Nc1cccc(C(F)(F)F)c1,0.01,11,2.2876
2709,Oc1cccc(C(F)(F)F)c1,0.0,11,2.411
2710,Nc1cccc(S(N)(=O)=O)c1,,11,-0.0838
2711,O=[N+]([O-])c1cccc(C(F)(F)F)c1,0.0,13,2.6136
2712,Cc1ccc(C(C)(C)C)cc1,0.0,11,3.29252
2713,CC(C)(C)C1CCC(O)CC1,0.0,11,2.5836
2714,CC(C)(C)c1ccc(O)cc1,0.0,11,2.6897
2715,CC1=CCC(C(C)(C)O)CC1,0.0,11,2.5037
2716,CS(=O)(=O)c1ccc(Cl)cc1,0.02,11,1.7435
2717,NS(=O)(=O)c1ccc(Cl)cc1,0.1,11,0.9874
2718,CC(C)(C)c1ccc(C(=O)O)cc1,0.0,13,2.6823
2719,OB(O)c1ccccc1,,9,-0.6336
2720,CC(C)c1ccccc1,0.0,9,2.81
2721,C=C(C)c1ccccc1,0.0,9,2.7197
2722,CC(=O)c1ccccc1,0.01,9,1.8892
2723,O=C(O)C1CCCCC1,0.02,9,1.6513
2724,NC(=O)c1cccnc1,0.66,9,0.1805
2725,O=[N+]([O-])c1ccccc1,0.03,9,1.5948
2726,NC(=O)c1cnccn1,,9,-0.4245
2727,O=C(O)c1ccccn1,0.17,9,0.7798
2728,CC(=O)c1cccc(Cl)c1,0.0,10,2.5426
2729,CC(=O)c1cccc(N)c1,0.03,10,1.4714
2730,Cc1cccc(C(=O)O)c1,0.02,10,1.69322
2731,Nc1cccc(C(=O)O)c1,0.11,10,0.967
2732,O=C(O)c1cccc(O)c1,0.08,10,1.0904
2733,CN(C)c1cccc(O)c1,0.03,10,1.4582
2734,Cc1cccc([N+](=O)[O-])c1,0.01,10,1.90322
2735,Nc1cccc([N+](=O)[O-])c1,0.07,10,1.177
2736,O=C(O)c1cc(O)cc(O)c1,0.16,11,0.796
2737,COC(=O)c1cc(O)c(O)c(O)c1,0.26,13,0.59
2738,O=[N+]([O-])c1cc(Br)c(O)c(Br)c1,0.0,12,2.8254
2739,Nc1c(Cl)cc([N+](=O)[O-])cc1Cl,0.0,12,2.4838
2740,O=C(O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,0.06,15,1.2012
2741,O=[N+]([O-])c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,0.04,15,1.4112
2742,COC(=O)c1cccc(C)c1,0.02,11,1.78162
2743,C=C(C)C1CC=C(C)C(O)C1,0.01,11,2.2797
2744,O=C(O)c1ccc(O)c(O)c1,0.16,11,0.796
2745,Cc1ccc([N+](=O)[O-])cc1C,0.01,11,2.21164
2746,O=[N+]([O-])c1ccc(Cl)c(Cl)c1,0.0,11,2.9016
2747,Cc1ccc([N+](=O)[O-])cc1N,0.03,11,1.48542
2748,Nc1ccc([N+](=O)[O-])cc1N,0.17,11,0.7592
2749,Nc1cc([N+](=O)[O-])ccc1O,0.13,11,0.8826
2750,COc1ccc([N+](=O)[O-])cc1N,0.07,12,1.1856
2751,O=C(O)c1ccc([N+](=O)[O-])cc1Cl,0.01,13,1.9464
2752,O=Cc1cccc([N+](=O)[O-])c1,0.04,11,1.4073
2753,O=[N+]([O-])c1cccc([N+](=O)[O-])c1,0.03,12,1.503
2754,CCCC(CCC)C(=O)O,0.01,10,2.2874
2755,CCC(C)c1ccc(O)cc1,0.0,11,2.9057
2756,COC(=O)c1ccc(C)cc1,0.02,11,1.78162
2757,COC(=O)c1ccc(O)cc1,0.07,11,1.1788
2758,CCOC(=O)c1ccc([N+](=O)[O-])cc1,0.02,14,1.7715
2759,CC1CCC(C(C)C)CC1,0.0,10,3.4687
2760,CC1=CCC(C(C)C)=CC1,0.0,10,3.3089
2761,CC1=CC=C(C(C)C)CC1,0.0,10,3.3089
2762,Cc1ccc(C(C)C)cc1,0.0,10,3.11842
2763,CC(C)c1ccc(N)cc1,0.0,10,2.3922
2764,CC(C)c1ccc(O)cc1,0.0,10,2.5156
2765,CC(=O)c1ccc(Br)cc1,0.0,10,2.6517
2766,CC(=O)c1ccc(Cl)cc1,0.0,10,2.5426
2767,CC(=O)c1ccc(N)cc1,0.03,10,1.4714
2768,CC(=O)c1ccc(O)cc1,0.03,10,1.5948
2769,Cc1ccc(C(=O)O)cc1,0.02,10,1.69322
2770,O=C(O)c1ccc(O)cc1,0.08,10,1.0904
2771,Cc1ccc(N(C)C)cc1,0.01,10,2.06102
2772,Cc1ccc([N+](=O)[O-])cc1,0.01,10,1.90322
2773,O=[N+]([O-])c1ccc(Cl)cc1,0.01,10,2.2482
2774,Nc1ccc([N+](=O)[O-])cc1,0.07,10,1.177
2775,O=[N+]([O-])c1ccc(O)cc1,0.05,10,1.3004
2776,COc1ccc(C(C)=O)cc1,0.01,11,1.8978
2777,COc1ccc(C(=O)O)cc1,0.04,11,1.3934
2778,CN(C)c1ccc(C=O)cc1,0.03,11,1.5651
2779,CCc1ccc([N+](=O)[O-])cc1,0.01,11,2.1572
2780,CNc1ccc([N+](=O)[O-])cc1,0.02,11,1.6365
